company,domain,website,fit,note,status,contact_name,contact_role,phone,email,last_contacted
Organo Eco Habitats,organo.co.in,https://www.organo.co.in,A,Eco/permaculture farm communities — closest peer to Agartha,new,,,,,
Ridhira Group,ridhira.com,https://www.ridhira.com,A,Wellness communities,new,,,,,
Ramky Estates & Farms Ltd,ramkyestates.com,https://www.ramkyestates.com,A,Estates & farms,new,,,,,
Greenspace Housing,greenspacehousing.com,https://www.greenspacehousing.com,A,Green housing,new,,,,,
Forest Nation,forestnation.in,https://www.forestnation.in,A,Forest/eco land,new,,,,,
Haven Ventures,havenventures.in,https://www.havenventures.in,A,Land ventures,new,,,,,
Dream Valley Group,dreamvalleygroup.com,https://www.dreamvalleygroup.com,A,Plotted/villa ventures,new,,,,,
Suchirindia,suchirindia.in,https://www.suchirindia.in,A,Townships & plotted,new,,,,,
Praneeth Group,praneeth.com,https://www.praneeth.com,A,Villas & plotted,new,,,,,
Modi Properties,modiproperties.com,https://www.modiproperties.com,A,Plotted ventures,new,,,,,
Keerthi Estates Pvt Ltd,keerthiestates.in,https://www.keerthiestates.in,A,Estates,new,,,,,
Legend Estates,legendindia.co.in,https://www.legendindia.co.in,A,Estates,new,,,,,
Sreenidhi Estate,sreenidhiestate.com,https://www.sreenidhiestate.com,A,Estates,new,,,,,
Silver Sands Estates & Infra,silversandsinfra.com,https://www.silversandsinfra.com,A,Estates & infra,new,,,,,
Krishe,krishe.co,https://www.krishe.co,A,Land/spaces,new,,,,,
Ankura Homes,ankurahomes.com,https://www.ankurahomes.com,A,Villas,new,,,,,
Anuhar Homes Pvt Ltd,anuhar.com,https://www.anuhar.com,A,Homes,new,,,,,
My Home Constructions,myhomeconstructions.com,https://www.myhomeconstructions.com,B,Tier-1 Hyderabad builder,new,,,,,
Aparna Constructions & Estates,aparnaconstructions.com,https://www.aparnaconstructions.com,B,Tier-1 Hyderabad builder,new,,,,,
Rajapushpa Properties,rajapushpa.in,https://www.rajapushpa.in,B,Premium residential,new,,,,,
ASBL,asbl.in,https://www.asbl.in,B,Premium residential,new,,,,,
Jayabheri Properties,jayabherigroup.com,https://www.jayabherigroup.com,B,Premium residential,new,,,,,
SMR Holdings,smrholdings.in,https://www.smrholdings.in,B,Residential,new,,,,,
Vertex Homes Pvt. Ltd.,vertexhomes.com,https://www.vertexhomes.com,B,Residential,new,,,,,
Muppa Projects India,muppaprojects.com,https://www.muppaprojects.com,B,Residential,new,,,,,
Incor Group,incor.in,https://www.incor.in,B,Residential,new,,,,,
